epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.005,2.29623,3.15898,2.0493,0.02963,0.02367,0.0038,0.00101,3.70671,25.3375,3.96763,0.0033299,0.0033299,0.0700309
2,537.594,2.23177,3.07093,2.06828,0.07166,0.12131,0.02947,0.01082,2.51654,9.82213,2.18466,0.00663723,0.00663723,0.0400049
3,625.559,2.08556,2.89956,1.95077,0.18275,0.15506,0.07206,0.03393,2.42913,4.70621,2.07942,0.00984111,0.00984111,0.0098754
4,713.022,1.96645,2.73259,1.85447,0.21691,0.17731,0.09465,0.04818,2.31832,3.91653,1.92355,0.00965239,0.00965239,0.00965239
5,801.458,1.84941,2.55194,1.73414,0.2921,0.22333,0.14077,0.07025,2.10505,3.22859,1.72908,0.00938772,0.00938772,0.00938772
6,889.655,1.7663,2.42147,1.67491,0.308,0.25275,0.15325,0.084,2.04136,2.81386,1.66989,0.00905463,0.00905463,0.00905463
7,977.603,1.72189,2.33188,1.63642,0.3298,0.28656,0.18461,0.10002,1.93586,2.49871,1.57496,0.00865839,0.00865839,0.00865839
8,1065.33,1.66044,2.26165,1.58902,0.33521,0.26823,0.17095,0.09969,1.92697,2.53959,1.56017,0.00820525,0.00820525,0.00820525
9,1153.4,1.62504,2.18596,1.55473,0.33206,0.2959,0.19539,0.10744,1.86894,2.65616,1.54779,0.00770234,0.00770234,0.00770234
10,1241.24,1.59742,2.14145,1.53717,0.35935,0.33522,0.22691,0.12679,1.88056,2.3394,1.54172,0.00715761,0.00715761,0.00715761
11,1329.16,1.54794,2.08626,1.49651,0.36963,0.35046,0.24621,0.13959,1.80743,2.18518,1.4594,0.00657963,0.00657963,0.00657963
12,1417.71,1.50552,2.03173,1.48157,0.38652,0.37495,0.2546,0.14716,1.74737,2.15183,1.40686,0.00597754,0.00597754,0.00597754
13,3731.23,1.49227,1.96825,1.45767,0.38421,0.39879,0.25956,0.15657,1.76398,2.05965,1.41334,0.00536081,0.00536081,0.00536081
14,3870.09,1.43808,1.91261,1.42097,0.40101,0.39939,0.27864,0.1592,1.7129,1.99406,1.37977,0.00473919,0.00473919,0.00473919
15,3956.87,1.40907,1.86653,1.39546,0.40805,0.4024,0.28188,0.16354,1.69764,2.10771,1.369,0.00412246,0.00412246,0.00412246
16,4042.52,1.38475,1.83248,1.38733,0.42314,0.41276,0.31801,0.17834,1.66961,1.89733,1.35168,0.00352037,0.00352037,0.00352037
17,4128.83,1.35049,1.78986,1.36593,0.41374,0.41575,0.30563,0.17329,1.65202,1.88777,1.35137,0.00294239,0.00294239,0.00294239
18,4215.14,1.34274,1.76001,1.35501,0.44079,0.43751,0.31863,0.18864,1.61003,1.85621,1.3035,0.00239766,0.00239766,0.00239766
19,4301.8,1.31583,1.72211,1.338,0.43806,0.42867,0.3334,0.19792,1.58155,1.79752,1.30017,0.00189475,0.00189475,0.00189475
20,4388.41,1.29463,1.70282,1.32422,0.43857,0.44062,0.32578,0.19792,1.56319,1.80415,1.28787,0.00144161,0.00144161,0.00144161
21,4517.46,1.26539,1.56766,1.31587,0.44448,0.45105,0.33653,0.19956,1.56402,1.76886,1.28318,0.00104537,0.00104537,0.00104537
22,4603.27,1.23976,1.50645,1.3012,0.44507,0.44831,0.3427,0.2016,1.55761,1.75672,1.27472,0.000712282,0.000712282,0.000712282
23,4689.96,1.22314,1.48174,1.28528,0.43833,0.46888,0.34722,0.20857,1.53991,1.6738,1.26799,0.000447606,0.000447606,0.000447606
24,4776.17,1.21299,1.4684,1.27158,0.43354,0.46743,0.35865,0.20813,1.54188,1.6857,1.26559,0.000255513,0.000255513,0.000255513
25,4862.46,1.20392,1.45375,1.26647,0.43483,0.47879,0.35623,0.20866,1.53483,1.67458,1.2666,0.000139032,0.000139032,0.000139032
