epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,681.455,1.82225,2.87084,1.96893,0.20261,0.14228,0.14297,0.08825,2.31954,5.333,2.25268,0.00333246,0.00333246,0.0700078
2,1154.32,1.68164,2.63232,1.8934,0.29888,0.2658,0.2101,0.129,2.119,5.77884,2.0802,0.00665929,0.00665929,0.0400013
3,1590.43,1.58841,2.48322,1.82469,0.31531,0.28487,0.19834,0.12887,1.97983,4.5801,1.89704,0.0099601,0.0099601,0.00996879
4,2016.64,1.51269,2.3698,1.77846,0.37617,0.32208,0.29516,0.20362,1.89236,4.03985,1.78294,0.00991232,0.00991232,0.00991232
5,2440.02,1.46467,2.2838,1.73774,0.40945,0.31277,0.31391,0.2261,1.84718,3.48186,1.69978,0.00984449,0.00984449,0.00984449
6,2908.47,1.42853,2.19964,1.70812,0.34951,0.37823,0.33533,0.23674,1.76565,3.82252,1.6344,0.00975773,0.00975773,0.00975773
7,3413.27,1.39651,2.13731,1.68124,0.48968,0.38464,0.38111,0.2774,1.7601,3.03184,1.63219,0.00965239,0.00965239,0.00965239
8,3816.45,1.37127,2.09507,1.66432,0.51423,0.40831,0.40124,0.28841,1.67092,3.27357,1.55434,0.00952889,0.00952889,0.00952889
9,4283.63,1.35627,2.05281,1.64918,0.47562,0.47315,0.43864,0.31183,1.65056,2.72641,1.54383,0.00938772,0.00938772,0.00938772
10,4922.81,1.33123,2.00518,1.62626,0.5709,0.44815,0.45916,0.34177,1.59945,2.68278,1.51119,0.00922942,0.00922942,0.00922942
11,5753.1,1.31015,1.96578,1.61163,0.6109,0.46007,0.50118,0.36582,1.56631,2.56246,1.48212,0.00905463,0.00905463,0.00905463
12,6325.67,1.29858,1.92284,1.59843,0.61758,0.48201,0.51536,0.37747,1.56314,2.40977,1.46363,0.00886404,0.00886404,0.00886404
13,6714.99,1.28839,1.89655,1.59673,0.60484,0.49184,0.51859,0.38259,1.53903,2.34628,1.44931,0.00865839,0.00865839,0.00865839
14,7109.27,1.28118,1.86945,1.58599,0.63554,0.5118,0.54339,0.40587,1.48958,2.39468,1.42356,0.00843851,0.00843851,0.00843851
15,7499.29,1.26121,1.84925,1.57126,0.60932,0.49989,0.53809,0.39898,1.48695,2.39495,1.41706,0.00820525,0.00820525,0.00820525
16,7889.14,1.24631,1.81726,1.56047,0.67539,0.50458,0.56814,0.42686,1.46336,2.2039,1.3928,0.00795954,0.00795954,0.00795954
17,8278.96,1.24127,1.80114,1.55166,0.6553,0.51278,0.5647,0.42508,1.44783,2.21908,1.37287,0.00770234,0.00770234,0.00770234
18,8668.17,1.22379,1.7728,1.54056,0.65683,0.54092,0.58377,0.43681,1.45232,2.0302,1.37488,0.00743468,0.00743468,0.00743468
19,9057.93,1.23197,1.76254,1.54487,0.69096,0.53747,0.60197,0.45099,1.42454,2.08667,1.36128,0.00715761,0.00715761,0.00715761
20,9447.16,1.21812,1.73611,1.52849,0.70295,0.52464,0.60243,0.45881,1.40254,2.03799,1.33871,0.00687222,0.00687222,0.00687222
21,9853.51,1.203,1.71079,1.52337,0.6938,0.54501,0.6177,0.46638,1.39414,2.04103,1.33798,0.00657963,0.00657963,0.00657963
22,10275.3,1.195,1.69058,1.51733,0.6924,0.5573,0.61908,0.46892,1.39037,1.90276,1.33014,0.00628101,0.00628101,0.00628101
23,10705.6,1.18932,1.67308,1.50866,0.70714,0.57647,0.63263,0.47667,1.38107,1.92928,1.31369,0.00597754,0.00597754,0.00597754
24,11586.1,1.18245,1.65678,1.49996,0.69981,0.57712,0.63524,0.48449,1.34601,1.89115,1.29561,0.0056704,0.0056704,0.0056704
25,12370.8,1.17383,1.63062,1.49127,0.68256,0.58577,0.63891,0.48873,1.34131,1.85536,1.29274,0.00536081,0.00536081,0.00536081
26,13052.7,1.16706,1.62901,1.49055,0.72741,0.57334,0.64328,0.49338,1.34481,1.83396,1.28902,0.00505,0.00505,0.00505
27,1379.3,1.15175,1.60349,1.48038,0.73435,0.5753,0.64901,0.49461,1.33014,1.77852,1.28781,0.00473919,0.00473919,0.00473919
28,2236.9,1.14385,1.58101,1.47602,0.73334,0.58549,0.66161,0.50948,1.31933,1.79705,1.28139,0.0044296,0.0044296,0.0044296
29,2908.94,1.14099,1.57954,1.47292,0.72501,0.60387,0.66842,0.51043,1.30737,1.75342,1.26885,0.00412246,0.00412246,0.00412246
