epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.469,1.25054,1.55417,1.4233,0.55486,0.56986,0.56429,0.36975,1.38235,1.59594,1.6414,0.000166454,0.000166454,0.0668756
2,660.324,1.19545,1.35869,1.3646,0.61459,0.66421,0.67257,0.44288,1.22443,1.25247,1.45487,0.000319929,0.000319929,0.0336958
3,898.689,1.1793,1.30177,1.35024,0.58724,0.68753,0.67697,0.44006,1.23453,1.19314,1.45309,0.000460204,0.000460204,0.000502721
4,1145.36,1.19742,1.31357,1.35883,0.65065,0.65453,0.67548,0.44912,1.22639,1.21686,1.41749,0.0004406,0.0004406,0.0004406
5,1368.8,1.17988,1.27981,1.34072,0.59846,0.66443,0.67997,0.45656,1.18836,1.205,1.42266,0.0004208,0.0004208,0.0004208
6,1592.36,1.16808,1.26743,1.33469,0.73117,0.61547,0.70604,0.46286,1.21348,1.13923,1.41957,0.000401,0.000401,0.000401
7,1815.33,1.16317,1.24812,1.32707,0.71407,0.60802,0.69156,0.45799,1.21891,1.16949,1.40665,0.0003812,0.0003812,0.0003812
8,2038.52,1.13933,1.20926,1.30914,0.63703,0.66959,0.70719,0.47635,1.17512,1.12367,1.3896,0.0003614,0.0003614,0.0003614
9,2261.87,1.12653,1.19641,1.29861,0.6431,0.69897,0.70291,0.46693,1.20531,1.1227,1.41051,0.0003416,0.0003416,0.0003416
10,2486.18,1.13867,1.19373,1.30198,0.67595,0.68944,0.72295,0.47023,1.2363,1.12328,1.42539,0.0003218,0.0003218,0.0003218
11,2709.66,1.11441,1.17681,1.29711,0.62564,0.6894,0.69933,0.47418,1.17612,1.10369,1.42281,0.000302,0.000302,0.000302
12,2933.53,1.11067,1.16386,1.29623,0.64986,0.6892,0.71701,0.47202,1.18214,1.11806,1.42344,0.0002822,0.0002822,0.0002822
13,3157.95,1.09435,1.13951,1.28108,0.63573,0.70375,0.71682,0.46803,1.20883,1.10625,1.42897,0.0002624,0.0002624,0.0002624
14,3380.75,1.0863,1.11931,1.27954,0.63923,0.68073,0.71305,0.47633,1.2015,1.10602,1.42223,0.0002426,0.0002426,0.0002426
15,3603.76,1.09243,1.11787,1.27481,0.64214,0.69093,0.72518,0.48646,1.17428,1.08502,1.40987,0.0002228,0.0002228,0.0002228
16,3820.63,1.13969,1.1085,1.30507,0.66492,0.69225,0.73005,0.48888,1.17356,1.0563,1.41108,0.000203,0.000203,0.000203
17,4036.84,1.11867,1.06464,1.28686,0.66043,0.70891,0.7242,0.48563,1.17564,1.094,1.40546,0.0001832,0.0001832,0.0001832
18,4253.02,1.10661,1.03541,1.27014,0.63171,0.70647,0.71441,0.47895,1.18502,1.07698,1.42477,0.0001634,0.0001634,0.0001634
19,4474.16,1.10046,1.01698,1.26854,0.65991,0.69696,0.7229,0.47997,1.19004,1.07792,1.42663,0.0001436,0.0001436,0.0001436
20,4690.65,1.09386,1.01196,1.2619,0.67552,0.71539,0.72809,0.48367,1.19112,1.07614,1.42358,0.0001238,0.0001238,0.0001238
21,4907.01,1.07059,0.98322,1.24672,0.65446,0.7191,0.73795,0.49066,1.17256,1.05277,1.41146,0.000104,0.000104,0.000104
22,5123.61,1.08023,0.99468,1.25892,0.67438,0.72285,0.73652,0.4958,1.16229,1.05069,1.40291,8.42e-05,8.42e-05,8.42e-05
23,5340.39,1.05817,0.96973,1.23682,0.69589,0.71435,0.74679,0.49547,1.16485,1.03846,1.40053,6.44e-05,6.44e-05,6.44e-05
24,5556.8,1.05091,0.96133,1.22622,0.68064,0.72363,0.74518,0.49695,1.16537,1.02836,1.39776,4.46e-05,4.46e-05,4.46e-05
25,5773.26,1.03973,0.94493,1.22237,0.68767,0.72301,0.74258,0.49699,1.15955,1.03255,1.39195,2.48e-05,2.48e-05,2.48e-05
